customer_id,total_payments,failure_count,failure_rate,total_amount_failed,risk_score,risk_category
C2801,12,7,0.5833,528.71,0.5268,CRITICAL
C0377,13,7,0.5385,2500.39,0.4863,CRITICAL
C0953,13,7,0.5385,486.31,0.4863,CRITICAL
C3336,8,5,0.625,226.68,0.4863,CRITICAL
C2985,6,4,0.6667,154.95,0.466,CRITICAL
C3059,6,4,0.6667,142.33,0.466,CRITICAL
C1449,14,7,0.5,360.18,0.4515,CRITICAL
C4394,14,7,0.5,206.73,0.4515,CRITICAL
C0799,4,3,0.75,86.28,0.4515,CRITICAL
C4101,4,3,0.75,80.43,0.4515,CRITICAL
C2434,9,5,0.5556,399.58,0.4323,CRITICAL
C3021,9,5,0.5556,244.47,0.4323,CRITICAL
C3971,9,5,0.5556,234.73,0.4323,CRITICAL
C4337,9,5,0.5556,222.91,0.4323,CRITICAL
C2237,9,5,0.5556,215.37,0.4323,CRITICAL
C0981,12,6,0.5,424.31,0.4225,CRITICAL
C0024,7,4,0.5714,631.0,0.3994,CRITICAL
C4688,7,4,0.5714,349.22,0.3994,CRITICAL
C1949,7,4,0.5714,237.82,0.3994,CRITICAL
C3196,7,4,0.5714,215.86,0.3994,CRITICAL
C2221,7,4,0.5714,174.65,0.3994,CRITICAL
C1114,7,4,0.5714,170.59,0.3994,CRITICAL
C1085,7,4,0.5714,116.97,0.3994,CRITICAL
C4675,13,6,0.4615,5170.06,0.39,CRITICAL
C2267,13,6,0.4615,147.15,0.39,CRITICAL
C2181,10,5,0.5,5081.6,0.3891,CRITICAL
C4694,10,5,0.5,2207.24,0.3891,CRITICAL
C4523,10,5,0.5,1719.43,0.3891,CRITICAL
C4015,10,5,0.5,363.88,0.3891,CRITICAL
C1089,10,5,0.5,234.71,0.3891,CRITICAL
C4522,10,5,0.5,177.53,0.3891,CRITICAL
C0206,5,3,0.6,209.48,0.3612,CRITICAL
C4134,5,3,0.6,187.36,0.3612,CRITICAL
C2928,5,3,0.6,169.62,0.3612,CRITICAL
C4294,11,5,0.4545,621.79,0.3537,CRITICAL
C1055,11,5,0.4545,374.17,0.3537,CRITICAL
C3458,11,5,0.4545,173.34,0.3537,CRITICAL
C2588,8,4,0.5,361.53,0.3495,HIGH
C3799,8,4,0.5,306.14,0.3495,HIGH
C4174,8,4,0.5,266.32,0.3495,HIGH
C0967,8,4,0.5,258.97,0.3495,HIGH
C4020,8,4,0.5,210.22,0.3495,HIGH
C4949,8,4,0.5,182.11,0.3495,HIGH
C1418,8,4,0.5,178.93,0.3495,HIGH
C4496,8,4,0.5,173.14,0.3495,HIGH
C0596,8,4,0.5,172.15,0.3495,HIGH
C3551,8,4,0.5,155.54,0.3495,HIGH
C0167,8,4,0.5,153.61,0.3495,HIGH
C2393,8,4,0.5,151.91,0.3495,HIGH
C0353,8,4,0.5,146.05,0.3495,HIGH
C2603,8,4,0.5,133.08,0.3495,HIGH
C3158,8,4,0.5,106.22,0.3495,HIGH
C0574,15,6,0.4,5393.68,0.338,HIGH
C3856,15,6,0.4,210.9,0.338,HIGH
C0854,12,5,0.4167,4047.71,0.3242,HIGH
C4656,12,5,0.4167,594.14,0.3242,HIGH
C0532,12,5,0.4167,450.87,0.3242,HIGH
C0175,12,5,0.4167,411.14,0.3242,HIGH
C3449,12,5,0.4167,341.15,0.3242,HIGH
C4765,12,5,0.4167,300.16,0.3242,HIGH
C4518,12,5,0.4167,247.49,0.3242,HIGH
C2220,12,5,0.4167,230.57,0.3242,HIGH
C0925,12,5,0.4167,213.43,0.3242,HIGH
C3680,3,2,0.6667,254.44,0.3181,HIGH
C2095,9,4,0.4444,3875.8,0.3107,HIGH
C3692,9,4,0.4444,3357.56,0.3107,HIGH
C1488,9,4,0.4444,2553.45,0.3107,HIGH
C2098,9,4,0.4444,2397.27,0.3107,HIGH
C1136,9,4,0.4444,787.17,0.3107,HIGH
C4493,9,4,0.4444,520.79,0.3107,HIGH
C0706,9,4,0.4444,349.22,0.3107,HIGH
C2007,9,4,0.4444,271.35,0.3107,HIGH
C2943,9,4,0.4444,270.57,0.3107,HIGH
C0384,9,4,0.4444,224.76,0.3107,HIGH
C1691,9,4,0.4444,217.15,0.3107,HIGH
C1328,9,4,0.4444,204.04,0.3107,HIGH
C1698,9,4,0.4444,196.81,0.3107,HIGH
C2069,9,4,0.4444,171.8,0.3107,HIGH
C4130,9,4,0.4444,136.9,0.3107,HIGH
C1222,9,4,0.4444,129.67,0.3107,HIGH
C0739,9,4,0.4444,123.57,0.3107,HIGH
C1990,9,4,0.4444,120.93,0.3107,HIGH
C0576,9,4,0.4444,88.0,0.3107,HIGH
C4254,21,7,0.3333,4805.93,0.301,HIGH
C1383,6,3,0.5,989.32,0.301,HIGH
C0991,6,3,0.5,329.11,0.301,HIGH
C4589,6,3,0.5,267.82,0.301,HIGH
C2712,6,3,0.5,214.29,0.301,HIGH
C2940,6,3,0.5,198.33,0.301,HIGH
C1773,6,3,0.5,162.98,0.301,HIGH
C4231,6,3,0.5,158.39,0.301,HIGH
C3072,6,3,0.5,149.84,0.301,HIGH
